video_name,location,pl_start,start_date_time,pl_end,end_date_time,duration
Articles_ Omission of A and An _ Article in English Grammar,C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4,3331000,"5/11/2023, 12:51:30 PM",4.062787,"5/11/2023, 12:51:34 PM",4.062787
Articles_ Omission of A and An _ Article in English Grammar,C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4,1344500,"5/11/2023, 12:52:08 PM",5.207559,"5/11/2023, 12:52:13 PM",5.207559
Articles_ Omission of A and An _ Article in English Grammar,C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4,5.207575,"5/11/2023, 12:52:38 PM",7.646237,"5/11/2023, 12:52:41 PM",2.438662
Articles_ Omission of A and An _ Article in English Grammar,C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4,7.646244,"5/11/2023, 12:57:03 PM",10.399482,"5/11/2023, 12:57:06 PM",2.753238
Articles_ Omission of A and An _ Article in English Grammar,C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4,10.399493,"5/11/2023, 2:04:08 PM",12.44089,"5/11/2023, 2:04:11 PM",2.041397
Articles_ Omission of A and An _ Article in English Grammar,C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4,12.524119,"5/11/2023, 2:04:12 PM",14.097282,"5/11/2023, 2:04:14 PM",1.573163
Articles_ Omission of A and An _ Article in English Grammar,C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4,14.172736,"5/11/2023, 2:04:15 PM",16.218606,"5/11/2023, 2:04:18 PM",222.04587
Articles_ Omission of A and An _ Article in English Grammar,C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4,16.218614,"5/11/2023, 2:31:52 PM",19.529304,"5/11/2023, 2:31:56 PM",343.31069
Articles_ Omission of A and An _ Article in English Grammar,C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4,19.608727,"5/11/2023, 2:31:56 PM",21.647742,"5/11/2023, 2:31:58 PM",2.039015
Articles_ Omission of A and An _ Article in English Grammar,C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4,21.733353,"5/11/2023, 2:32:13 PM",27.276425,"5/11/2023, 2:32:19 PM",55555.54307
